Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20260901;SXXP;STOXX Europe 600;EU0009658202;587183;;UBIP.PA;UBISOFT ENTERTAINMENT;FR;EUR;Euronext Paris;;1113;1068;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE60A7;;V1NC.DE;VINCORION;DE;EUR;XETRA;;1114;1143;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE50X8;;APOTEA.ST;APOTEA;SE;SEK;NASDAQ Stockholm;;1115;1105;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT704M;;IF.MI;BANCA IFIS;IT;EUR;Borsa Italiana;;1116;1099;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;770065;;A3M.MC;ATRESMEDIA CORP;ES;EUR;BME Exchange;;1117;1097;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE803H;;RAYb.ST;RAYSEARCH LABORATORIES B;SE;SEK;NASDAQ Stockholm;;1118;1098;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;ES508J;;DIDA.MC;DISTRIBUIDORA INTNAC.DE ALIMENTACION;ES;EUR;BME Exchange;;1119;1096;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE13X7;;PDXI.ST;PARADOX INTERACTIVE;SE;SEK;NASDAQ Stockholm;;1120;;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;CH7033;;DOCM.S;DocMorris;CH;CHF;Six Swiss Exchange;;1121;1132;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB41C8;;FSGF.L;FORESIGHT GROUP HOLDINGS;GB;GBP;London SE;;1122;1117;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;EB379;;ENQ.L;ENQUEST;GB;GBP;London SE;;1123;1113;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE8032;;COKG.DE;CANCOM;DE;EUR;XETRA;;1124;1093;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;FR158K;;OVH.PA;OVH PROMESSES;FR;EUR;Euronext Paris;;1125;1110;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;NO309N;;HSHP.OL;HIMALAYA SHIPPING;NO;NOK;Oslo Bors;;1126;1119;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT305J;;TXTS.MI;TXT E-SOLUTION;IT;EUR;Borsa Italiana;;1127;1134;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;FR407H;;WLN.PA;WORLDLINE;FR;EUR;Euronext Paris;;1128;1135;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE14V6;;RVRC.ST;RVRC HOLDING;SE;SEK;NASDAQ Stockholm;;1129;1094;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DK607A;;BIOMAR.CO;BIOMAR GROUP;DK;DKK;NASDAQ Copenhagen;;1130;;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;401701;;ERMT.PA;ERAMET;FR;EUR;Euronext Paris;;1131;1125;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB1ERX;;OXB.L;OXFORD BIOMEDICA;GB;GBP;London SE;;1132;1049;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB1EY4;;ATG.L;AUCTION TECHNOLOGY GROUP;GB;GBP;London SE;;1133;1109;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB70OM;;SBRE.L;SABRE INSURANCE GROUP PLC;GB;GBP;London SE;;1134;1101;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;457310;;MAUP.PA;MAUREL ET PROM;FR;EUR;Euronext Paris;;1135;1111;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE5062;;PBBG.DE;DEUTSCHE PFANDBRIEFBANK;DE;EUR;XETRA;;1136;1114;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;FR14IT;;VLS.PA;VALNEVA;FR;EUR;Euronext Paris;;1137;1156;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DE34MK;;MUXG.DE;MUTARES;DE;EUR;XETRA;;1138;1108;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;PL20GS;;CRI1.WA;CREOTECH INSTRUMENTS;PL;PLN;Warsaw SE;;1139;1192;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;056841;;MSLH.L;MARSHALLS;GB;GBP;London SE;;1140;1127;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;NO806P;;ELMRA.OL;ELMERA GROUP ASA;NO;NOK;Oslo Bors;;1141;1121;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;SE40Y8;;LOGIb.ST;LOGISTEA B;SE;SEK;NASDAQ Stockholm;;1142;1141;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT203G;;CEMB.MI;CEMBRE;IT;EUR;Borsa Italiana;;1143;1129;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT303H;;REVOI.MI;REVO INSURANCE;IT;EUR;Borsa Italiana;;1144;1136;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;ES11DL;;EDRE.MC;EDREAMS ODIGEO;ES;EUR;BME Exchange;;1145;1126;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;DK6014;;STOGR.CO;SCANDINAVIAN TOBACCO GROUP;DK;DKK;NASDAQ Copenhagen;;1146;1133;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB20KD;;PCTN.L;PICTON PROPERTY INC.;GB;GBP;London SE;;1147;1123;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GR1019;;ELHA.AT;ELVALHALCOR HELLENIC COPPER AND ALUMINIUM INDUSTRY;GR;EUR;ATHENS SE;;1148;;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;CH90BD;;BELL.S;BELL 'R';CH;CHF;Six Swiss Exchange;;1149;;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;GB1541;;GBGP.L;GB GROUP;GB;GBP;London SE;;1150;1061;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;IT407M;;RWAY.MI;RAI WAY;IT;EUR;Borsa Italiana;;1151;1124;;;
20260901;SXXP;STOXX Europe 600;EU0009658202;PL90J2;;RBW.WA;RAINBOW TOURS SR.B C2 E;PL;PLN;Warsaw SE;;1152;1130;;;
